"t","utility","dimmer","servers"
660,259.615594471451,1,3
720,203.06681453392,1,7.99991666666667
780,252.22599362551,1,4.00006666666667
840,253.753956965564,1,3
900,214.35710919178,1,8
960,186.209898038559,1,13
1020,210.594839242208,1,8
1080,233.58979091069,1,8
1140,188.279390116064,1,13
1200,216.70547910197,1,8
1260,257.65353316242,1,3
1320,254.612899465907,1,3
1380,225.002471057778,1,8
1440,205.981867444891,1,8
1500,258.438287355334,1,4.0002
1560,259.095586195905,1,3
1620,255.56015121361,1,3
1680,205.493330544999,1,8
1740,237.728390146444,1,8
1800,254.916645503472,1,3
1860,224.605914294145,1,8
1920,244.433786602868,1,3
1980,253.630201995556,1,3
2040,267.232259894492,1,3
2100,211.084171733649,1,7.99991666666667
2160,250.438056395809,1,3
2220,243.239427307223,1,3
2280,210.815791744248,1,7.99983333333334
2340,224.876137236268,1,8
2400,257.322510404842,1,3
2460,253.520753833928,1,3
2520,259.371378650924,1,3
2580,239.094287545772,1,7.99916666666665
2640,212.488942466824,1,8
2700,246.808561603046,1,3
2760,252.942658689805,1,3
2820,263.533659453374,1,3
2880,246.7782195446,1,3
2940,253.301787640397,1,3
3000,230.015328583201,1,8
3060,255.24485907555,1,3
3120,210.025716129487,1,8
3180,213.916500785512,1,8
3240,254.642204687188,1,4.00006666666668
3300,244.9401342844,1,3
3360,222.757853320566,1,8
3420,218.645968816433,1,8
3480,226.099339484307,1,8
3540,233.76062334453,1,8
3600,249.63375945106,1,3
3660,219.9890148863,1,8
3720,260.77910724976,1,3
3780,257.223011260703,1,3
3840,246.496315407516,1,3
3900,205.666814288961,1,8
3960,221.958755343543,1,8
4020,210.677621830495,1,8
4080,227.780501009845,1,8
4140,257.247284114018,1,4.00013333333333
4200,254.304939478799,1,3
4260,263.435015932119,1,3
4320,204.894469009106,1,8
4380,260.320556685098,1,3
4440,211.162066773238,1,8
4500,255.545929682485,1,3
4560,260.401239244354,1,3
4620,210.808472504249,1,8
4680,260.601983968843,1,3
4740,227.421085473159,1,8
4800,257.689627754731,1,3
4860,258.375743053249,1,3
4920,204.186293247366,1,8
4980,254.859848345683,1,3
5040,205.84585412191,1,8
5100,226.194484945439,1,8
5160,219.48309467333,1,8
5220,250.157025728637,1,3
5280,243.026661598151,1,3
5340,253.111985467361,1,3
5400,258.925913577329,1,3
5460,167.694314006013,1,13
5520,254.59210849678,1,3
5580,246.134573978763,1,3
5640,254.376282036505,1,3
5700,257.202038284132,1,3
5760,248.552778796698,1,3
5820,208.967225928843,1,8
5880,238.861110515571,1,8
5940,221.879600904999,1,8
6000,206.676668770798,1,8
6060,214.713263448817,1,8
6120,250.651778819727,1,3
6180,204.010593965757,1,8
6240,259.971398552599,1,3
6300,242.426176803364,1,3
6360,207.764636697761,1,7.9998333333333
6420,207.764073603712,1,8
6480,226.275385614738,1,8
6540,258.131980254504,1,3
6600,243.156904993769,1,3
6660,258.713137703113,1,3
6720,250.116313824723,1,3
6780,161.204841280791,1,13
6840,253.251158525771,1,3
6900,243.643564088397,1,3
6960,210.809623203799,1,7.99975000000002
7020,264.805231016328,1,3
7080,247.066839461186,1,3
7140,212.72406494562,1,8
7200,236.587908639117,1,8
7260,259.616308443036,1,3
7320,189.711294817996,1,3
7380,-134.528094553483,1,3
7440,217.004626442477,0,3
7500,250.378739447683,1,3
7560,-312.347352747436,1,3
7620,129.22182705507,0,3
7680,219.608472171282,1,3
7740,10.470518547126,1,3
7800,297.559278250509,1,8
7860,295.571354783498,1,8
7920,-276.902181312613,1,3
7980,130.499176446098,0,3
8040,288.605165633386,1,8
8100,239.401670925446,1,3
8160,215.694282695045,1,13
8220,-357.501927843296,1,3
8280,26.726699534276,0,3
8340,190.475187378788,1,3
8400,274.923052853425,1,8
8460,242.696100318061,1,13
8520,-40.1472979547503,1,3
8580,250.423516518475,0,3
8640,200.106721373356,1,3
8700,-352.590949381917,1,3
8760,88.7123198175505,0,3
8820,263.350361379148,1,8
8880,277.336385030602,1,8
8940,165.99011132063,1,3
9000,-351.413240698269,1,3
9060,76.7433809467723,1.66666666700621e-05,3
9120,300.815885509015,1,8
9180,302.831947779391,1,8
9240,264.937500153313,1,8
9300,277.182348901624,1,8
9360,83.4667506132591,1,3
9420,268.559970279776,1,7.99991666666665
9480,260.657309785865,1,8
9540,301.852027002583,1,8
9600,-360.667052609025,1,3
9660,73.3466557517422,0,3
9720,288.765702445057,1,8
9780,284.995620263552,1,8
9840,293.761715345593,1,8
9900,-79.4519089512297,1,4.00006666666668
9960,182.941459800256,1.66666666700621e-05,3
10020,280.844830789019,1,8
10080,299.463785019001,1,8
10140,284.678109529553,1,8
10200,-313.124519881882,1,3
10260,116.381455677511,1.66666666700621e-05,3
10320,298.046696432299,1,8
10380,285.327187266716,1,8
10440,264.755670212086,1,8
10500,289.989871322259,1,8
10560,265.077210976165,1,8
10620,279.755243087769,1,8
10680,-354.888752479345,1,3
10740,135.337106113888,1.66666666700621e-05,3
10800,298.774191531423,1,8
10860,287.163872802311,1,8
10920,262.453716867818,1,8
10980,297.404851239449,1,8
11040,299.321848005484,1,8
11100,275.641376823066,1,8
11160,253.82296522137,1,13
11220,261.006918854766,1,8
11280,303.53138941047,1,8
11340,303.696347056073,1,8
11400,253.979998162706,1,13
11460,293.579743088562,1,9.00013333333336
11520,260.370189563316,1,8
11580,283.053846697569,1,8
11640,262.337240545238,1,8
11700,264.272288738742,1,8
11760,264.798058249386,1,8
11820,274.744240861613,1,8
11880,285.295400897537,1,8
11940,289.959945572121,1,8
12000,262.807028243872,1,8
12060,301.242786085913,1,8
12120,-126.694003580793,1,3
12180,184.393688640027,0,3
12240,271.37919872962,1,8
12300,303.358313656054,1,8
12360,265.853723287067,1,8
12420,304.11411064366,1,8
12480,283.143678741108,1,8
12540,275.090680253394,1,8
12600,282.243209573759,1,8
12660,261.180737300014,1,8
12720,257.907959823683,1,8
12780,294.810818205094,1,8
12840,278.538711888012,1,8
12900,271.405466262098,1,8
12960,301.019159004431,1,8
13020,289.137664986516,1,8
13080,297.504695996184,1,8
13140,272.76501340358,1,8
13200,301.841415128329,1,8
13260,292.195368260598,1,8
13320,289.156120028393,1,8
13380,-332.426020029427,1,3
13440,136.185096288384,0,3
13500,265.130762912505,1,8
13560,265.37474945095,1,8
13620,294.004693907316,1,8
13680,295.055400362479,1,8
13740,305.069112609923,1,8
13800,-71.9318747973585,1,3
13860,225.395822081744,0,3
13920,299.983857715949,1,8
13980,262.023938206173,1,8
14040,232.992515962088,1,8
14100,208.596595130891,1,8
14160,235.297516565075,1,8
14220,232.172821970816,1,8
14280,184.237068122427,1,13
14340,235.094036467429,1,8
14400,208.909681448126,1,8
14460,236.315195493194,1,8
14520,227.313770650761,1,8
14580,217.575135741918,1,8
14640,204.305362915831,1,8
14700,171.864455856272,1,13
14760,236.132563115441,1,8
14820,222.37772921937,1,8
14880,211.397651909659,1,8
14940,217.860964975912,1,8
15000,205.347565068014,1,8
15060,176.305237033827,1,13
15120,197.99311970037,1,9.00006666666668
15180,233.552084269405,1,8
15240,220.196380406028,1,8
