"t","utility","dimmer","servers"
660,221.988254462758,1,8
720,204.2694026266,1,8
780,182.79485381661,1,13
840,252.094865127655,1,3
900,253.806201050474,1,3
960,260.729485951829,1,3
1020,249.683372508851,1,3
1080,261.99343465867,1,3
1140,262.026753698851,1,3
1200,254.917936302393,1,3
1260,256.251806263577,1,3
1320,254.272105396094,1,3
1380,259.491457658595,1,3
1440,244.948207865882,1,3
1500,266.183178633806,1,3
1560,260.08921046748,1,3
1620,254.839174549035,1,3
1680,241.905288229732,1,3
1740,235.132971221586,1,8
1800,257.505179847506,1,3
1860,222.61121456464,1,8
1920,245.117604304729,1,3
1980,252.478846133638,1,3
2040,263.097002476142,1,3
2100,248.047338394903,1,3
2160,250.229971344508,1,3
2220,243.413959319239,1,3
2280,247.200258291538,1,3
2340,257.607094593077,1,3
2400,220.241562965678,1,7.99991666666665
2460,252.498910723512,1,3
2520,226.122629047316,1,8
2580,237.586206809909,1,8
2640,249.926442299493,1,3
2700,246.077724423307,1,3
2760,252.892947579008,1,3
2820,261.765909001892,1,3
2880,244.913352824892,1,3
2940,217.37486746482,1,8
3000,261.116277001925,1,3
3060,254.011583153232,1,3
3120,247.840471418387,1,3
3180,249.837595079509,1,3
3240,263.169865001151,1,3
3300,245.541305718619,1,3
3360,257.961587229493,1,3
3420,252.923422029459,1,3
3480,257.528408076138,1,3
3540,259.291015623946,1,3
3600,250.53960551113,1,3
3660,255.430563626001,1,3
3720,230.518350965633,1,8
3780,257.39795999627,1,3
3840,245.958907827962,1,3
3900,243.817292363812,1,3
3960,221.394300619097,1,8
4020,163.845060428296,1,13
4080,259.160624169433,1,3
4140,261.891061818498,1,3
4200,252.067210512857,1,3
4260,260.168126659487,1,3
4320,243.385759524899,1,3
4380,260.475017544427,1,3
4440,247.216916033539,1,3
4500,221.744335813948,1,8
4560,259.849726959882,1,3
4620,247.874395691678,1,3
4680,260.077855239739,1,3
4740,259.234871499343,1,3
4800,223.648743636797,1,8
4860,261.164340918404,1,3
4920,203.827803509412,1,8
4980,254.025651429371,1,3
5040,159.87343961147,1,13
5100,258.988423984671,1,3
5160,252.812532399929,1,3
5220,249.946935013752,1,3
5280,158.752748121811,1,13
5340,252.08973522794,1,3
5400,260.662308672229,1,3
5460,250.438482680194,1,3
5520,175.428107145764,1,13
5580,163.487140854244,1,13
5640,176.812711766448,1,13
5700,259.084670371136,1,3
5760,248.553286183677,1,3
5820,246.079999329044,1,3
5880,261.976795524098,1,3
5940,254.970450512172,1,3
6000,244.393838218178,1,3
6060,169.970550878919,1,13
6120,252.692386969831,1,3
6180,203.986059084708,1,8
6240,260.851322667123,1,3
6300,242.429707394727,1,3
6360,245.819149623365,1,3
6420,245.773760020702,1,3
6480,257.389206779261,1,3
6540,256.888349488929,1,3
6600,241.045622097677,1,3
6660,262.771848795923,1,3
6720,169.828103415693,1,13
6780,243.999576743193,1,3
6840,253.576130901698,1,3
6900,245.431358080517,1,3
6960,247.829109796224,1,3
7020,262.832587452801,1,3
7080,247.892558403226,1,3
7140,249.510525079931,1,3
7200,265.028350400936,1,3
7260,262.80861887365,1,3
7320,194.668550027633,1,3
7380,-121.309259274112,1,3
7440,218.311138769494,0,3
7500,225.592992953694,1,3
7560,243.866878801285,1,13
7620,-118.104825583022,1,3
7680,174.038094484193,0,3
7740,126.796035948849,1,3
7800,-366.075633346178,1,3
7860,5.98247931472869,0,3
7920,-268.489955954471,1,3
7980,129.979467577077,0,3
8040,-319.908652608164,1,3
8100,111.233259566624,0,3
8160,259.392401451057,1,3
8220,-357.501927843296,1,3
8280,71.5783442259033,0,3
8340,93.6143515902272,1,3
8400,-151.701788515575,1,3
8460,212.154528271778,0,3
8520,-41.8799148730018,1,3
8580,254.975712167737,0,3
8640,175.646456686423,1,3
8700,-333.500227827825,1,3
8760,120.538909204346,0,3
8820,258.055539276279,1,3
8880,7.45559846914717,1,3
8940,-265.015938308348,1,3
9000,212.708635390337,0,3
9060,264.168098121179,1,8
9120,-362.242476148251,1,3
9180,37.6112648712825,0,3
9240,214.674886601645,1,3
9300,-4.61852378497083,1,3
9360,233.153525352148,0,3
9420,59.0209104341938,1,3
9480,257.858131904416,1,8
9540,-363.442537822341,1,3
9600,72.6263397979145,0,3
9660,-286.229065791393,1,3
9720,157.094147107072,0,3
9780,-97.7203162638285,1,3
9840,204.709855727846,0,3
9900,-200.086482456015,1,3
9960,168.061119417301,3.33333333401242e-05,3
10020,-65.0752388225183,1,3
10080,253.33458145271,0,3
10140,-100.663828124336,1,3
10200,202.708544904112,0,3
10260,261.728907298283,1,8
10320,-331.36637576783,1,3
10380,112.354232725335,0,3
10440,225.492599947137,1,3
10500,-256.834762391118,1,3
10560,138.587880567374,0,3
10620,-164.923213805438,1,3
10680,204.518575088642,0,3
10740,-365.473661801671,1,3
10800,-1.1242186563217,0,3
10860,261.34552485356,0,3
10920,244.486538163844,1,3
10980,252.849590061215,1,13
