"t","utility","dimmer","servers"
660,178.138421029679,1,13
720,245.940899120956,1,3
780,261.562289801023,1,3
840,169.695729734232,1,13
900,213.88326895014,1,8
960,231.45426988137,1,8
1020,248.917242475607,1,3
1080,265.349021273678,1,3
1140,188.780048970261,1,13
1200,254.257109812169,1,3
1260,222.199836898293,1,8
1320,173.427672564657,1,13
1380,259.700319131029,1,3
1440,205.177274065544,1,8
1500,264.20960505652,1,3
1560,227.011756916083,1,8
1620,220.731902476969,1,8
1680,205.617956157916,1,8
1740,263.182181910093,1,3
1800,256.412869273723,1,3
1860,180.208684442418,1,13
1920,205.341478839737,1,8
1980,172.575051983516,1,13
2040,237.944583926719,1,8
2100,247.974456325305,1,3
2160,214.303844888636,1,8
2220,161.604303037313,1,13
2280,166.934861858575,1,13
2340,258.043508263292,1,3
2400,222.164830237006,1,8
2460,252.195528924329,1,3
2520,260.855742600313,1,3
2580,195.047385746021,1,13
2640,248.05314866486,1,3
2700,209.353284180138,1,8
2760,173.318183839933,1,13
2820,260.317745505032,1,3
2880,244.874442780913,1,3
2940,175.197298764984,1,13
3000,258.49604436182,1,3
3060,220.827149654858,1,8
3120,247.232927805954,1,3
3180,213.983480680621,1,8
3240,262.634267958498,1,3
3300,243.607260778789,1,3
3360,222.851769563763,1,8
3420,253.412553728674,1,3
3480,258.866386132512,1,3
3540,233.580184971962,1,8
3600,214.478684663613,1,8
3660,220.06473314768,1,8
3720,263.020823258256,1,3
3780,258.058592797179,1,3
3840,246.203450364626,1,3
3900,205.515648631387,1,8
3960,222.223466196808,1,8
4020,166.925562032266,1,13
4080,260.253888200651,1,3
4140,267.112561934375,1,3
4200,253.700710777763,1,3
4260,262.650287505602,1,3
4320,242.380700447096,1,3
4380,228.155976055102,1,8
4440,211.377622869612,1,8
4500,257.10456626596,1,3
4560,230.336230144349,1,8
4620,210.802003317741,1,8
4680,228.995266272517,1,8
4740,259.038946262382,1,3
4800,258.165524450023,1,3
4860,230.128235230582,1,8
4920,241.923507665699,1,3
4980,253.62143995125,1,3
5040,243.720507813758,1,3
5100,258.310932931646,1,3
5160,219.500400065035,1,8
5220,250.600875653052,1,3
5280,204.411540176694,1,8
5340,217.601801530688,1,8
5400,265.016418633497,1,3
5460,249.290835539346,1,3
5520,220.957486612903,1,8
5580,165.118098936364,1,13
5640,221.723607593048,1,8
5700,226.673710808616,1,8
5760,247.751923230554,1,3
5820,208.758727280633,1,8
5880,238.725229424451,1,8
5940,256.486695757961,1,3
6000,245.053883397597,1,3
6060,171.344165998712,1,13
6120,251.291065818877,1,3
6180,160.617588836447,1,13
6240,230.316085443382,1,8
6300,204.220101126197,1,8
6360,245.293647836746,1,3
6420,244.679020071496,1,3
6480,183.171539854804,1,13
6540,223.9495064251,1,8
6600,243.105089698521,1,3
6660,231.512671259512,1,8
6720,250.176417144797,1,3
6780,206.870096997613,1,8
6840,252.214329543197,1,3
6900,245.64112720231,1,3
6960,247.070832539745,1,3
7020,235.028842458921,1,8
7080,248.343088798888,1,3
7140,212.650294725162,1,8
7200,263.375051119297,1,3
7260,257.508398349506,1,3
7320,230.531963555175,1,3
7380,269.419997718883,1,8
7440,287.803150892154,1,8
7500,250.443390769855,1,3
7560,288.371847272367,1,8
7620,237.864616859064,1,13
7680,235.864186880459,1,3
7740,271.973852251179,1,8
7800,-366.075633346178,1,3
7860,43.5098984917229,0,3
7920,-271.638938326109,1,3
7980,141.745046775436,0,3
8040,-273.252399186462,1,3
8100,128.408613877108,0,3
8160,242.866965205282,1,3
8220,-357.501927843296,1,3
8280,110.964771968417,0,3
