"t","utility","dimmer","servers"
660,177.889061982059,1,13
720,245.306374093759,1,3
780,261.526827719884,1,3
840,213.191705842611,1,8
900,253.92717780452,1,3
960,186.589779852186,1,13
1020,210.340196666075,1,8
1080,233.628518359184,1,8
1140,233.590885927562,1,8
1200,217.053419644027,1,8
1260,223.676519208417,1,8
1320,172.944119131757,1,13
1380,179.850401689415,1,13
1440,245.139817427704,1,3
1500,263.688175097155,1,3
1560,182.750565963012,1,13
1620,221.566784900715,1,8
1680,161.325725712284,1,13
1740,264.609251475289,1,3
1800,222.163400139537,1,8
1860,180.319377101285,1,13
1920,205.937445976217,1,8
1980,252.860479081295,1,3
2040,238.288181395623,1,8
2100,211.477518735962,1,8
2160,214.721531496347,1,8
2220,243.876199270101,1,3
2280,247.472414875226,1,3
2340,180.739450199792,1,13
2400,255.426484055431,1,3
2460,172.273216087227,1,13
2520,183.734281048723,1,13
2580,195.087974495109,1,13
2640,212.432973585727,1,8
2700,209.385840738684,1,8
2760,173.396008614521,1,13
2820,230.757211519392,1,9.00066666666668
2880,207.978860187277,1,8
2940,218.990182732679,1,8
3000,186.510061022814,1,13
3060,220.863921873995,1,8
3120,166.838720562587,1,13
3180,170.608324481891,1,13
3240,261.984914281387,1,3
3300,244.565911607989,1,3
3360,256.865368445133,1,3
3420,175.411864969753,1,13
3480,259.742767981269,1,3
3540,190.370092214977,1,13
3600,171.335900696678,1,13
3660,220.215219765205,1,8
3720,262.91054612883,1,3
3780,181.383414127437,1,13
3840,165.714667232385,1,13
3900,205.519923747825,1,8
3960,179.102006780036,1,13
4020,210.479310373723,1,8
4080,259.108452840954,1,3
4140,194.130392365579,1,13
4200,175.262135915362,1,13
4260,236.252405055837,1,8
4320,243.008845906055,1,3
4380,185.038244152256,1,13
4440,168.42381769064,1,13
4500,256.819054611385,1,3
4560,187.531452870673,1,13
4620,168.203173847983,1,13
4680,252.293952101198,1,4.00015000000003
4740,184.571383586489,1,13
4800,224.456212341753,1,8
4860,187.414412476177,1,13
4920,203.975996469461,1,8
4980,254.677023212681,1,3
5040,163.253840308686,1,13
5100,183.310926936979,1,13
5160,219.399812465968,1,8
5220,171.13213843165,1,13
5280,161.935725409476,1,13
5340,174.911283688986,1,13
5400,191.507674109623,1,13
5460,213.81858753286,1,8
5520,221.082609488675,1,8
5580,165.681974810647,1,13
5640,221.973300960323,1,8
5700,258.369477748802,1,3
5760,210.90634835291,1,8
5820,245.586461537942,1,3
5880,238.963617495344,1,8
5940,179.256305255229,1,13
6000,245.20050967529,1,3
6060,171.904197682077,1,13
6120,173.18622240257,1,13
6180,242.66751231693,1,3
6240,261.876079853338,1,3
6300,204.327144935797,1,8
6360,207.88546519242,1,8
6420,207.880542297925,1,8
6480,259.495155208152,1,3
6540,181.587255592651,1,13
6600,162.488244521346,1,13
6660,259.809986718996,1,3
6720,250.67949721073,1,3
6780,243.888260821218,1,3
6840,251.995409860027,1,3
6900,244.763662650452,1,3
6960,247.56752920279,1,3
7020,192.139642926997,1,13
7080,247.833518533147,1,3
7140,170.228560524927,1,13
7200,236.329840902353,1,8
7260,190.234892124309,1,13
7320,192.817243015595,1,3
7380,260.560789148207,1,8
7440,287.799162701741,1,8
7500,251.312731375569,1,3
7560,-341.010402649114,1,3
7620,142.511854943192,0,3
7680,261.392994903025,1,8
7740,230.343110933051,1,13
7800,304.020177157665,1,8
7860,253.04483213417,1,13
7920,245.660068335813,1,13
7980,219.1768655648,1,13
8040,245.710256778626,1,13
8100,234.778176522923,1,3
8160,261.833533288725,1,8
8220,296.477075413362,1,8
8280,274.889402482023,1,8
8340,225.917402012161,1,13
8400,278.864302461192,1,8
8460,288.704119451263,1,8
8520,277.868461103686,1,8
8580,-362.297709090051,1,3
8640,49.9627541824207,0,3
8700,249.323472783572,1,13
8760,273.250905499467,1,8
8820,263.194877298433,1,8
8880,6.46869248174829,1,3
8940,-59.4138748973088,1,3
9000,240.72022749664,0,3
9060,221.736385654658,1,13
9120,258.411070691221,1,13
9180,-364.821647194012,1,3
9240,-12.2111628744999,0,3
9300,254.460863938013,0,3
9360,273.300424126997,1,8
9420,274.825799345458,1,8
9480,258.943528080803,1,3
9540,-363.442537822341,1,3
9600,27.6339535720457,0,3
9660,245.777210934311,1,13
9720,245.908972579195,1,13
9780,-294.160186625411,1,3
9840,160.185065784859,0,3
9900,284.668479298443,1,8
9960,194.669827955761,1,4.00006666666668
10020,237.757674409423,1,13
10080,299.562993899041,1,8
10140,284.738020138782,1,8
10200,249.608360908077,1,13
10260,219.089388886633,1,13
10320,255.494837020592,1,13
10380,-190.272029531025,1,3
10440,136.609313065691,0,3
10500,247.480659568938,1,13
10560,243.163144459907,1,3
10620,280.147655807275,1,8
10680,-358.263353294563,1,3
10740,123.221333813564,1.66666666700621e-05,3
10800,299.041282018641,1,8
10860,-181.800700592296,1,3
10920,164.408193690687,0,3
10980,-358.794686701739,1,3
11040,136.994851990363,0,3
11100,275.479325654463,1,8
11160,299.256973212626,1,8
11220,218.397628212965,1,13
11280,-365.205204928538,1,3
11340,46.6858508624212,0,3
11400,298.987099328198,1,8
11460,-363.766917077262,1,3
11520,-2.98359038990288,0,3
11580,258.65802375177,0,3
11640,262.54313149056,1,8
11700,264.278558611883,1,8
11760,235.180465627084,1,3
11820,274.594284400269,1,8
11880,285.180640852328,1,8
