"t","utility","dimmer","servers"
660,221.764868446787,1,8
720,159.913014973895,1,12.9999166666667
780,227.308647583414,1,8
840,253.631247188831,1,3
900,253.464193962978,1,3
960,231.921010590259,1,8
1020,166.416075598421,1,13
1080,260.242103433749,1,3
1140,233.411714241375,1,8
1200,253.275601516453,1,3
1260,223.314266912612,1,8
1320,244.448702419457,1,4.00006666666667
1380,179.607542284287,1,13
1440,244.096606065752,1,3
1500,238.029072567945,1,8
1560,259.883061925305,1,3
1620,220.741173252602,1,8
1680,244.31026370137,1,3
1740,192.255961774565,1,13
1800,255.140716004406,1,3
1860,224.612259306433,1,8
1920,244.326675350567,1,3
1980,252.163522262013,1,3
2040,237.762254142488,1,8
2100,166.395909744863,1,13
2160,250.133637184825,1,3
2220,205.476085287604,1,7.99941666666666
2280,248.592707734076,1,3
2340,258.218019938396,1,3
2400,255.792216624045,1,3
2460,216.055578271792,1,8
2520,258.638746643684,1,3
2580,263.777261362572,1,3
2640,247.027172246417,1,3
2700,164.801768956467,1,13
2760,216.929909145462,1,8
2820,262.288913419698,1,3
2880,244.705472783412,1,3
2940,255.053567357506,1,3
3000,229.891426270179,1,8
3060,255.95469709444,1,3
3120,247.22354929843,1,3
3180,213.974029382521,1,8
3240,262.95387990309,1,3
3300,244.614097349376,1,3
3360,257.170268534948,1,3
3420,174.035617866034,1,13
3480,259.126493192052,1,3
3540,233.790247368234,1,8
3600,250.735228907029,1,3
3660,254.338212416327,1,3
3720,231.322509540935,1,8
3780,257.864827374631,1,3
3840,245.064110482484,1,3
3900,242.678987360371,1,3
3960,221.789303871866,1,8
4020,239.220416045204,1,4.00006666666668
4080,259.414630658767,1,3
4140,263.314244174282,1,3
4200,173.571953144841,1,12.9998333333333
4260,236.233921423745,1,8
4320,243.46732283142,1,3
4380,260.822730098085,1,3
4440,248.362600048276,1,3
4500,222.098633355044,1,7.99991666666665
4560,262.779597841357,1,3
4620,248.865945271732,1,3
4680,258.518622734396,1,3
4740,259.150068013457,1,3
4800,224.310449786128,1,8
4860,260.945336953752,1,3
4920,242.782112748884,1,3
4980,253.893199592822,1,3
5040,244.042219789995,1,3
5100,226.130219364972,1,8
5160,254.057959895389,1,3
5220,169.676048609887,1,13
5280,243.079830306395,1,3
5340,217.720696644579,1,8
5400,263.131575358152,1,3
5460,251.162003642349,1,3
5520,256.318144569565,1,3
5580,245.485950090972,1,3
5640,255.27760942727,1,3
5700,226.720639888609,1,8
5760,247.232755128141,1,3
5820,246.532194608188,1,3
5880,260.947832697618,1,3
5940,255.594595692113,1,3
6000,206.899054551417,1,8
6060,251.123275551393,1,3
6120,251.275855444679,1,3
6180,242.582874826181,1,3
6240,260.207568232055,1,3
6300,242.70703774114,1,3
6360,163.8260949938,1,13
6420,245.860334669958,1,3
6480,226.430894865565,1,8
6540,257.815974429589,1,3
6600,243.454389671327,1,3
6660,261.239564137426,1,3
6720,249.815691943781,1,3
6780,207.035450200662,1,7.99958333333332
6840,252.335592199889,1,3
6900,246.480405247195,1,3
6960,246.300086374957,1,3
7020,262.780054054753,1,3
7080,247.889669932624,1,3
7140,248.275019642159,1,3
7200,261.813349501039,1,3
7260,262.662073511956,1,3
7320,261.998931773382,1,8
7380,277.509232685213,1,8
7440,287.594359995681,1,8
7500,258.040203709985,1,8
7560,288.772764283981,1,8
7620,280.9057694164,1,8
7680,261.375281937053,1,8
7740,273.051343705773,1,8
7800,304.144341486782,1,8
7860,295.440190702506,1,8
7920,288.2422745214,1,8
7980,261.76535005384,1,8
8040,288.264084743382,1,8
8100,261.918617788651,1,8
8160,261.819348121235,1,8
8220,296.018424288643,1,8
8280,274.779796051961,1,8
8340,268.568320443976,1,8
8400,278.723424946441,1,8
8460,288.516964463356,1,8
8520,277.685602944192,1,8
8580,300.6010269381,1,8
8640,269.612223214053,1,8
8700,291.577583371594,1,8
8760,272.963313493438,1,8
8820,263.10997241208,1,8
8880,277.378083481692,1,8
8940,274.904479357508,1,8
9000,290.553301934213,1,8
9060,264.305422358271,1,8
9120,300.548205793394,1,8
9180,303.15910687549,1,8
9240,265.036534695166,1,8
9300,277.052377675771,1,8
9360,273.47378092298,1,8
9420,274.890678810758,1,8
9480,260.87301203038,1,8
9540,301.72719502659,1,8
9600,299.04455378912,1,8
9660,288.376166712544,1,8
9720,288.537671399525,1,8
9780,284.939355462553,1,8
9840,293.778511103899,1,8
9900,284.84582219528,1,8
9960,264.049154803187,1,8
10020,280.720353997958,1,8
10080,299.475209135476,1,8
10140,284.819869993411,1,8
10200,292.034795000586,1,8
10260,261.906718686367,1,8
10320,298.02305950377,1,8
10380,285.39724032657,1,8
10440,265.227708701873,1,8
10500,289.93626338827,1,8
10560,265.036719550052,1,8
10620,280.0469140808,1,8
10680,296.909950345309,1,8
10740,303.745772797195,1,8
10800,299.066504488028,1,8
10860,286.967491372165,1,8
10920,262.722631331446,1,8
10980,297.298223918947,1,8
11040,299.102738466474,1,8
11100,275.625778858121,1,8
11160,299.277400265806,1,8
11220,261.191751898285,1,8
11280,303.391888159782,1,8
11340,303.539632235118,1,8
11400,298.67742625479,1,8
11460,302.107607540423,1,8
11520,260.15156004373,1,8
11580,283.325963621042,1,8
11640,262.375173591912,1,8
11700,264.129563918444,1,8
11760,264.899360940987,1,8
11820,274.709658075385,1,8
11880,285.422165209311,1,8
11940,290.158695392123,1,8
12000,262.952727218943,1,8
12060,301.414382302239,1,8
12120,284.646729447549,1,8
12180,259.353890577053,1,8
12240,271.399588873553,1,8
12300,303.603741271121,1,8
12360,265.440808668395,1,8
12420,304.113523474808,1,8
12480,283.053318527468,1,8
12540,275.122830822615,1,8
12600,282.150173364389,1,8
12660,261.366925230304,1,8
12720,257.770391006383,1,8
12780,294.376351466628,1,8
12840,278.525035386179,1,8
12900,271.250971968255,1,8
12960,301.405877099921,1,8
13020,289.206997889662,1,8
13080,297.866600732966,1,8
13140,272.84476379409,1,8
13200,301.559554970089,1,8
13260,292.131058296205,1,8
13320,289.352113849528,1,8
13380,287.314753821678,1,8
13440,273.340650090876,1,8
13500,265.624169556257,1,8
13560,265.253481525517,1,8
13620,293.903790366011,1,8
13680,294.930709705102,1,8
13740,305.44451741141,1,8
13800,280.701052828186,1,8
13860,276.250732284892,1,8
13920,299.823983054504,1,8
13980,261.827711970953,1,8
14040,232.991259307685,1,8
14100,208.510578966491,1,8
14160,235.036130176797,1,8
14220,232.463112104206,1,8
14280,228.446831714727,1,8
14340,235.191301029843,1,8
