"t","utility","dimmer","servers"
660,203.156540542791,1,8
720,172.533829709007,1,13
780,191.93679172845,1,9.00006666666667
840,248.609776341742,1,4.00006666666667
900,261.798558490831,1,3
960,209.642200972462,1,8
1020,256.899914645216,1,3
1080,253.142955200002,1,3
1140,219.64083256616,1,8
1200,260.275840704753,1,3
1260,207.481426456121,1,8
1320,236.086022654637,1,8
1380,251.324725062306,1,3
1440,249.402805295388,1,3
1500,211.831230138908,1,7.99991666666667
1560,171.887657261053,1,13
1620,221.612783077016,1,8
1680,263.737601905433,1,3
1740,252.943427608885,1,3
1800,238.386025582465,1,7.99991666666667
1860,258.876363996976,1,3
1920,212.920332980011,1,8
1980,248.478076304769,1,3
2040,231.286792598346,1,7.99991666666667
2100,246.982288394271,1,4.00066666666667
2160,204.070354594072,1,7.99974999999999
2220,224.881725514458,1,8
2280,209.580236225317,1,8
2340,232.257516165398,1,8
2400,229.121780343737,1,8
2460,206.927174124759,1,8
2520,237.664122913821,1,4.00006666666668
2580,205.65033969155,1,7.99991666666665
2640,233.976210754575,1,8
2700,248.43196304208,1,4.00006666666668
2760,159.59827797518,1,12.9995
2820,208.017227454905,1,9.00006666666668
2880,204.356813361537,1,8
2940,257.691034545337,1,4.00006666666668
3000,263.134139784137,1,3
3060,220.164974355134,1,8
3120,236.401193655815,1,4.00006666666668
3180,230.614873873503,1,8
3240,238.127182978635,1,8
3300,255.433288600191,1,4.00013333333333
3360,255.317735760098,1,3
3420,248.547040536502,1,3
3480,254.278447097736,1,3
3540,216.769740331794,1,8
3600,247.292351375885,1,3
3660,247.158984068286,1,3
3720,205.39068772515,1,8
3780,210.126388608671,1,8
3840,226.818288733104,1,8
3900,223.113578960785,1,8
3960,242.033070833399,1,4.00006666666668
4020,229.036342673684,1,8
4080,255.078730108241,1,4.00006666666668
4140,159.11782085236,1,13
4200,258.321708163115,1,3
4260,254.047391375358,1,3
4320,214.819810429288,1,8
4380,251.015131927006,1,3
4440,223.182510535943,1,8
4500,218.470670521769,1,8
4560,211.32098165583,1,8
4620,254.535740243944,1,4.00006666666668
4680,257.79583772035,1,3
4740,242.249047424118,1,3
4800,206.945086008483,1,8
4860,215.161172318412,1,8
4920,207.316222999938,1,8
4980,260.425255013935,1,3
5040,161.215275425547,1,13
5100,253.613475688336,1,3
5160,245.08381207897,1,3
5220,256.779861150675,1,3
5280,252.816264563547,1,3
5340,242.340533150383,1,3
5400,204.048550140251,1,7.99991666666665
5460,257.199044652934,1,4.00006666666668
5520,259.126763951359,1,3
5580,207.326662873614,1,7.9998333333333
5640,256.628167378192,1,4.00006666666668
5700,246.341488895044,1,3
5760,254.803457764591,1,3
5820,208.475434249475,1,8
5880,234.218591517876,1,8
5940,257.189136794011,1,3
6000,252.288357319294,1,3
6060,261.118811557779,1,3
6120,173.494506986583,1,12.9998333333333
6180,228.783061638253,1,8
6240,243.11737604919,1,3
6300,245.106438213703,1,3
6360,257.907424459037,1,3
6420,208.040459580603,1,7.99991666666665
6480,263.390849209937,1,3
6540,247.055794357996,1,3
6600,210.954928550265,1,8
6660,259.211064097077,1,3
6720,258.836289465388,1,3
6780,237.540456736182,1,8
6840,250.691753450354,1,3
6900,247.472419027359,1,3
6960,212.435048697154,1,8
7020,259.05896431802,1,3
7080,258.600882442172,1,3
7140,242.577406806377,1,3
7200,213.644861641664,1,8
7260,232.8597493439,1,8
7320,167.842865895536,1,3
7380,-236.365024945926,1,3
7440,181.213603856491,0,3
7500,-141.550317279394,1,3
7560,170.93646901888,0,3
7620,281.326104706502,1,8
7680,-277.957294185656,1,3
7740,114.800031723275,0,3
7800,228.595690855845,1,3
7860,-358.361781451069,1,3
7920,71.9611132575087,0,3
7980,-361.453151924741,1,3
8040,86.0474275997757,1.66666666700621e-05,3
8100,-357.719908893242,1,3
8160,80.4529465217135,0,3
8220,-362.757746806913,1,3
8280,35.7990809469165,0,3
8340,267.320384874001,1,8
8400,266.231009281453,1,8
8460,-355.74251636963,1,3
8520,119.202437122771,0,3
8580,106.777413840576,0.99998333333333,3
8640,256.415547261549,1,3
8700,253.351943903567,1,3
8760,247.55657226217,1,3
8820,248.248910407373,1,3
8880,259.235934969107,1,3
8940,229.932054413583,1,8
9000,252.974593040619,1,3
9060,230.166418956379,1,7.99991666666665
9120,245.104751444997,1,3
9180,224.934525900802,1,8
9240,234.867340590921,1,4.00006666666668
9300,260.366002095559,1,3
9360,236.394413417553,1,8
9420,251.53118871565,1,3
9480,262.455878083833,1,3
9540,256.600287513264,1,3
9600,257.54462829428,1,3
9660,247.167624981779,1,3
9720,255.018352721605,1,3
9780,257.022013577484,1,3
9840,212.256315205502,1,8
