"t","utility","dimmer","servers"
660,159.22128878453,1,13
720,216.435705807411,1,8
780,156.292985876236,1,13
840,220.892241498383,1,8
900,234.065155536286,1,8
960,210.677418624437,1,8
1020,219.543754101202,1,8
1080,217.933780728482,1,8
1140,220.94451535425,1,8
1200,185.61117384911,1,13
1260,208.925864460094,1,8
1320,237.200179424834,1,8
1380,214.982475827471,1,8
1440,212.605417637756,1,8
1500,213.172530113482,1,8
1560,218.800606678962,1,8
1620,256.080500411835,1,3
1680,234.834270121675,1,8
1740,253.003402918824,1,3
1800,193.621101627949,1,13
1860,260.508906118776,1,3
1920,213.633479498653,1,8
1980,211.630077543075,1,8
2040,186.596045627373,1,13
2100,255.913240451801,1,3
2160,204.377890047382,1,8
2220,180.187285165703,1,13
2280,209.834001612304,1,8
2340,260.229741703944,1,3
2400,229.095692556352,1,8
2460,162.522067192434,1,13
2520,199.802588588252,1,9.00013333333333
2580,243.914584124584,1,3
2640,189.161418692528,1,13
2700,256.022730776742,1,3
2760,243.590249401887,1,3
2820,172.417073028896,1,13
2880,204.615929980032,1,8
2940,238.029714244575,1,8
3000,194.078223113649,1,13
3060,254.394674518795,1,3
3120,244.717281911148,1,3
3180,260.240262333099,1,3
3240,262.972813496559,1,3
3300,265.327236100104,1,3
3360,177.189872230945,1,13
3420,169.545720443553,1,13
3480,220.226914559256,1,8
3540,252.335101194365,1,3
3600,248.401234792355,1,3
3660,246.814294834121,1,3
3720,244.050174010652,1,3
3780,210.139361057836,1,8
3840,227.018807704967,1,8
3900,222.835963824727,1,8
3960,249.518335573766,1,3
4020,185.570231930319,1,13
4080,235.576103210466,1,8
4140,241.776874414427,1,3
4200,255.54382865512,1,3
4260,254.696841814831,1,3
4320,171.072899004683,1,13
4380,214.095315916948,1,8
4440,179.88995120105,1,13
4500,254.27929801077,1,3
4560,248.441822698548,1,3
4620,232.140918795579,1,8
4680,258.379746944864,1,3
4740,205.08442959541,1,8
4800,163.803827388754,1,13
4860,250.937950641707,1,3
4920,163.851845233602,1,13
4980,229.73819279433,1,8
5040,206.668147054402,1,8
5100,175.287586614484,1,13
5160,245.497706541922,1,3
5220,179.890375591119,1,13
5280,250.068247535831,1,3
5340,161.301811721696,1,13
5400,242.711620131635,1,3
5460,237.554728108909,1,8
5520,259.441079698522,1,3
5580,164.305917404589,1,13
5640,264.363582658979,1,3
5700,247.827860984371,1,3
5760,255.186890312421,1,3
5820,245.23875727563,1,3
5880,234.253653271721,1,8
5940,181.696589164057,1,13
6000,216.814310986466,1,8
6060,262.743726546977,1,3
6120,252.910852075916,1,3
6180,260.490096865956,1,3
6240,162.38253160048,1,13
6300,164.541158848378,1,13
6360,223.327437165824,1,8
6420,245.730168541064,1,3
6480,193.217468033992,1,13
6540,202.226274673031,1,9.00006666666668
6600,248.159983553777,1,3
6660,256.832649089495,1,3
6720,184.3167366487,1,13
6780,194.775052655008,1,13
6840,173.000283052953,1,13
6900,167.386082976913,1,13
6960,248.562626067608,1,3
7020,257.917823945767,1,3
7080,258.355409778452,1,3
7140,162.316987784991,1,13
7200,170.928084880809,1,13
7260,261.873216023825,1,3
7320,205.620255398036,1,3
7380,230.079796068827,1,13
7440,197.988520183328,1,3
7500,-123.85707347439,1,3
7560,210.387958305364,0,3
7620,-180.001968927609,1,3
7680,185.689196685393,0,3
7740,229.608328851243,1,13
7800,210.84916403144,1,3
7860,-358.361781451069,1,3
7920,99.0000361706214,0,3
7980,299.709951874552,1,8
8040,229.411977062261,1,13
8100,-346.416754432166,1,3
8160,91.6329325155573,0,3
8220,301.198704215646,1,8
8280,242.148346222038,1,13
8340,131.06348534799,1,3
8400,142.09744449571,1,3
8460,-355.74251636963,1,3
8520,92.219844925949,0,3
8580,262.318918216268,1,8
8640,258.714869683463,1,3
8700,174.926861102733,1,13
8760,210.258204163687,1,8
8820,213.718155646948,1,8
8880,251.146940236886,1,4.00020000000004
8940,259.848925161498,1,3
9000,253.368562771164,1,3
9060,258.020318562655,1,3
9120,208.161281934824,1,8
9180,258.86801257119,1,3
9240,243.746992333367,1,3
9300,234.32360992423,1,8
9360,193.76035886542,1,13
9420,172.088111111399,1,13
9480,189.141303617781,1,13
9540,215.23038015085,1,9.00006666666668
9600,181.864995468968,1,13
9660,246.600306278344,1,3
9720,256.85587515081,1,3
9780,224.683820966932,1,8
9840,212.553997974145,1,8
