"t","utility","dimmer","servers"
660,203.290553937187,1,8
720,254.319686355684,1,3
780,200.012734572418,1,8
840,221.093942792344,1,8
900,257.447391874648,1,3
960,210.177589152496,1,8
1020,256.763695266841,1,3
1080,217.320346459932,1,8
1140,253.971655490523,1,3
1200,230.137740857508,1,8
1260,162.855193957069,1,13
1320,255.959094728229,1,3
1380,214.192616740773,1,8
1440,248.995542105878,1,3
1500,167.178397534963,1,13
1560,173.194521167575,1,13
1620,176.911527327833,1,13
1680,263.894825659433,1,3
1740,171.83617203369,1,13
1800,260.562570750607,1,3
1860,262.134522859903,1,3
1920,168.840461999624,1,13
1980,211.508393190315,1,8
2040,231.419543927495,1,8
2100,255.295991895362,1,3
2160,242.226968866263,1,3
2220,224.489453071465,1,8
2280,246.559031588853,1,3
2340,232.164379284132,1,8
2400,228.895323947468,1,8
2460,245.459230230032,1,3
2520,164.051869187373,1,13
2580,161.726635064064,1,13
2640,264.207918523785,1,3
2700,222.624542026792,1,8
2760,205.413196549073,1,8
2820,172.604836245791,1,13
2880,242.629592140887,1,3
2940,193.920364096639,1,13
3000,263.418903802093,1,3
3060,255.100729095436,1,3
3120,243.759410515479,1,3
3180,230.506588840202,1,8
3240,238.112481506951,1,8
3300,267.457840692111,1,3
3360,255.210339933347,1,3
3420,249.470616691659,1,3
3480,176.26683017793,1,13
3540,251.953254350275,1,3
3600,210.819969550718,1,8
3660,246.346292891588,1,3
3720,205.246437362273,1,8
3780,247.322899651595,1,3
3840,258.06192840944,1,3
3900,179.156242063189,1,13
3960,250.598549383835,1,3
4020,261.456175456766,1,3
4080,235.580024465958,1,8
4140,161.237493555291,1,13
4200,259.308917024787,1,3
4260,253.019916696156,1,3
4320,171.166697721836,1,13
4380,214.037239694645,1,8
4440,223.289350046197,1,8
4500,253.775150107149,1,3
4560,247.819357539938,1,3
4620,261.353270972942,1,3
4680,224.66142722146,1,8
4740,205.082249247259,1,8
4800,244.66892319709,1,3
4860,250.554662530522,1,3
4920,244.092339775206,1,3
4980,259.848224293665,1,3
5040,206.374229677595,1,8
5100,218.47758283481,1,8
5160,245.542089339301,1,3
5220,223.10011329719,1,8
5280,251.765988854155,1,3
5340,161.063141231696,1,13
5400,242.670092787697,1,3
5460,262.470429030152,1,3
5520,260.851030992939,1,3
5580,245.115517594317,1,3
5640,261.384462225989,1,3
5700,247.533465663123,1,3
5760,256.81753912004,1,3
5820,208.807232683363,1,8
5880,190.958620891399,1,13
5940,256.419390560175,1,3
6000,252.894816637245,1,3
6060,261.714481598174,1,3
6120,253.101041425694,1,3
6180,260.700570599166,1,3
6240,243.149649559025,1,3
6300,245.826754631647,1,3
6360,223.374969051931,1,8
6420,245.707996709807,1,3
6480,261.608979410668,1,3
6540,247.273346544485,1,3
6600,247.234013078071,1,3
6660,260.493641110593,1,3
6720,257.40779218911,1,3
6780,264.778726505762,1,3
6840,251.118483563438,1,3
6900,247.238018640403,1,3
6960,212.442330247436,1,8
7020,258.237608645987,1,3
7080,258.810113597938,1,3
7140,243.236778662164,1,3
7200,213.583884216708,1,8
7260,261.94339278777,1,3
7320,232.084984421694,1,3
7380,-243.828998573501,1,3
7440,183.747109149987,0,3
7500,-177.390629423166,1,3
7560,155.099644455771,0,3
7620,-62.7360595001422,1,3
7680,232.541267298319,0,3
7740,202.421113647257,1,3
7800,166.229202198809,1,3
7860,-358.361781451069,1,3
7920,110.71908852971,0,3
7980,-361.453151924741,1,3
8040,51.9464080089673,0,3
8100,-357.719908893242,1,3
8160,59.4295497818401,0,3
8220,-362.757746806913,1,3
8280,34.3312401438222,0,3
8340,186.54447113255,1,3
8400,241.309829767084,1,3
8460,-355.74251636963,1,3
8520,100.193779815783,0,3
8580,189.146276198952,1,3
8640,262.704091696413,1,3
8700,217.606184248798,1,8
8760,247.335590418825,1,3
8820,249.686103308974,1,3
8880,259.304100210358,1,3
8940,261.115713317589,1,3
9000,218.261095441153,1,8
9060,258.832789893247,1,3
9120,245.445011921516,1,3
9180,258.202707774091,1,3
9240,243.018238799866,1,3
9300,234.264474774713,1,8
9360,263.381478259592,1,3
9420,252.028014554515,1,3
9480,259.433620113588,1,3
9540,223.714886954183,1,8
9600,256.764881961543,1,3
9660,247.008925501564,1,3
9720,256.222780358792,1,3
9780,258.317483822687,1,3
9840,247.593162894089,1,3
