"t","utility","dimmer","servers"
660,201.359646058364,1,8
720,172.295630090814,1,13
780,155.787959349988,1,13
840,219.898554869294,1,8
900,189.00609019146,1,13
960,165.948640509641,1,13
1020,174.823886581847,1,13
1080,173.726355600171,1,13
1140,176.511235614118,1,13
1200,186.457596753607,1,13
1260,247.536212938489,1,3
1320,192.918125631188,1,13
1380,251.954159574335,1,3
1440,211.750360673289,1,8
1500,250.360320812233,1,3
1560,217.830873540234,1,8
1620,221.73825755286,1,8
1680,190.278275273395,1,13
1740,252.485096266936,1,3
1800,260.198658111323,1,3
1860,187.566908062969,1,13
1920,169.641935934003,1,13
1980,211.151917231448,1,8
2040,263.181676295884,1,3
2100,176.662042696052,1,13
2160,204.174478161085,1,8
2220,258.685337742766,1,3
2280,247.558417788003,1,3
2340,262.562226616142,1,3
2400,185.51493846833,1,13
2460,163.500192200359,1,13
2520,165.083051464227,1,13
2580,244.204563447083,1,3
2640,233.884875522966,1,8
2700,256.673423473418,1,3
2760,162.332033233008,1,13
2820,216.604767453545,1,8
2880,204.099696657162,1,8
2940,194.696392834937,1,13
3000,194.969123526573,1,13
3060,176.905730636665,1,13
3120,244.050195794685,1,3
3180,187.620396178281,1,13
3240,195.314948978971,1,13
3300,263.340540105436,1,3
3360,221.031293148545,1,8
3420,249.699487462213,1,3
3480,254.973637363864,1,3
3540,216.806610316904,1,8
3600,248.190589631901,1,3
3660,209.542709345681,1,8
3720,243.037616404376,1,3
3780,210.111592242933,1,8
3840,227.058263065338,1,8
3900,179.584382137658,1,13
3960,170.800424554754,1,13
4020,186.367918476536,1,13
4080,264.097800309068,1,3
4140,242.602061833266,1,3
4200,180.779974235549,1,13
4260,177.38299669486,1,13
4320,250.096875945759,1,3
4380,250.170694613356,1,3
4440,180.37067959132,1,13
4500,253.174321223454,1,3
4560,247.891451839037,1,3
4620,232.111504666741,1,8
4680,181.942719640292,1,13
4740,205.180009176426,1,8
4800,164.269445331741,1,13
4860,206.55626557223,1,9.00006666666668
4920,207.169140647132,1,8
4980,186.890941418655,1,13
5040,206.358567688129,1,8
5100,218.377290677549,1,8
5160,208.031620955964,1,8
5220,180.265049086511,1,13
5280,174.884063644308,1,13
5340,242.865899251534,1,3
5400,161.326264008757,1,12.9998333333333
5460,264.375450414783,1,3
5520,229.107697982964,1,8
5580,164.424170231113,1,13
5640,193.985125213134,1,13
5700,167.905124205745,1,13
5760,256.20691483091,1,3
5820,246.466797293045,1,3
5880,191.58506948331,1,13
5940,257.172941449661,1,3
6000,173.99679509256,1,13
6060,196.340013169989,1,13
6120,218.74414842328,1,8
6180,258.558942196888,1,3
6240,243.450844107164,1,3
6300,244.874231869389,1,3
6360,223.252768744001,1,8
6420,245.863152875216,1,3
6480,263.742363889594,1,3
6540,167.849467901109,1,13
6600,168.309156334533,1,13
6660,227.579183204016,1,8
6720,184.423439994186,1,13
6780,194.844085498253,1,13
6840,215.927164063952,1,8
6900,247.32061122753,1,3
6960,169.658915813689,1,13
7020,260.787389778697,1,3
7080,226.287248767895,1,8
7140,162.637962194673,1,13
7200,249.189926098359,1,3
7260,190.451479649111,1,13
7320,181.864425552395,1,3
7380,-258.551923637393,1,3
7440,176.701666356438,0,3
7500,282.295571066589,1,8
7560,281.744156154523,1,8
7620,238.637337902058,1,13
7680,249.963439612435,1,13
7740,229.598254808195,1,13
7800,221.876033485289,1,13
7860,254.52795015767,1,13
7920,246.017073244743,1,13
7980,-361.453151924741,1,3
8040,63.7712586241758,0,3
8100,-357.719908893242,1,3
8160,76.0514311805382,0,3
8220,301.154174258927,1,8
8280,-231.13595658476,1,3
8340,172.021869953572,0,3
8400,266.044177821122,1,8
8460,294.716718569199,1,8
8520,-169.635394626726,1,3
8580,197.571139444968,0,3
8640,261.701150195262,1,3
8700,253.55115617359,1,3
8760,167.300477511536,1,13
8820,213.749539530948,1,8
8880,183.270746354831,1,13
8940,260.416094064822,1,3
9000,251.998462014168,1,3
9060,187.386278999258,1,13
9120,207.7744782488,1,8
9180,225.112216466569,1,8
9240,163.379749422676,1,13
9300,259.758182466137,1,3
9360,236.220086506229,1,8
9420,214.896194571416,1,8
9480,261.074454685698,1,3
9540,258.683964355339,1,3
9600,181.923359872908,1,13
9660,209.286315745778,1,8
9720,179.905876005401,1,13
9780,259.022229767502,1,3
9840,169.727504279489,1,13
