"t","utility","dimmer","servers"
660,202.850688163382,1,8
720,172.859381342673,1,13
780,200.146982161695,1,8
840,257.123534181877,1,3
900,261.257040583004,1,3
960,165.240240109869,1,13
1020,217.965047900262,1,8
1080,254.721250683774,1,3
1140,254.76961569524,1,3
1200,229.344547945981,1,8
1260,247.212048340831,1,3
1320,190.924440780888,1,13
1380,250.968499000996,1,3
1440,210.991130092397,1,8
1500,248.7624078152,1,3
1560,172.844801179344,1,13
1620,257.21500243154,1,3
1680,233.193512795815,1,8
1740,252.086744479524,1,3
1800,237.975223475063,1,8
1860,263.257171407745,1,3
1920,250.021435270521,1,3
1980,211.02994557499,1,8
2040,261.324401668566,1,3
2100,175.362455695173,1,13
2160,242.450509587397,1,3
2220,258.068404487204,1,3
2280,209.432080952621,1,8
2340,260.152069389017,1,3
2400,260.297963385264,1,3
2460,245.577909963,1,3
2520,208.105239091906,1,8
2580,243.523167278594,1,3
2640,188.699995710787,1,13
2700,255.96454413738,1,3
2760,243.782800700975,1,3
2820,216.267999007632,1,8
2880,242.321494323091,1,3
2940,265.331676123837,1,3
3000,263.006076992542,1,3
3060,175.446662210705,1,13
3120,245.103539836182,1,3
3180,230.496999297457,1,8
3240,266.060584168525,1,3
3300,263.282831505295,1,3
3360,253.806432620628,1,3
3420,213.027384264346,1,8
3480,254.410138417937,1,3
3540,251.139935866177,1,3
3600,247.992785590917,1,3
3660,209.484745588807,1,8
3720,242.547842377505,1,3
3780,165.941550976557,1,13
3840,259.438732612837,1,3
3900,256.738271945896,1,3
3960,252.036650069272,1,3
4020,259.963967299513,1,3
4080,235.454261966319,1,8
4140,241.937082664677,1,3
4200,257.820742762302,1,3
4260,253.459568839268,1,3
4320,214.637149825772,1,8
4380,249.93084263025,1,3
4440,256.667575137616,1,3
4500,252.867378687992,1,3
4560,247.237227344216,1,3
4620,232.015081663614,1,8
4680,257.571547284782,1,3
4740,160.979648670431,1,13
4800,244.386503371513,1,3
4860,251.476656710199,1,3
4920,207.105789419862,1,8
4980,259.026752297918,1,3
5040,244.719355546637,1,3
5100,251.658252188402,1,3
5160,245.53953246016,1,3
5220,257.06638285672,1,3
5280,251.548813289385,1,3
5340,203.972568252702,1,8
5400,243.084579334693,1,3
5460,265.577279421132,1,3
5520,258.578730911474,1,3
5580,244.794492402786,1,3
5640,263.945936330402,1,3
5700,247.394143643497,1,3
5760,256.006656226071,1,3
5820,208.60016896409,1,8
5880,262.533544779855,1,3
5940,258.107638054918,1,3
6000,172.625223973296,1,13
6060,262.6094079761,1,3
6120,253.601707848236,1,3
6180,260.281053641645,1,3
6240,242.817619202181,1,3
6300,245.674770704448,1,3
6360,257.854975601598,1,3
6420,207.897341163766,1,8
6480,261.519498926996,1,3
6540,247.982348175706,1,3
6600,247.979672939747,1,3
6660,259.975986354354,1,3
6720,257.095713323972,1,3
6780,267.413481843264,1,3
6840,251.697915942645,1,3
6900,247.312277642474,1,3
6960,250.597297428568,1,3
7020,227.256071425362,1,8
7080,258.701270981942,1,3
7140,242.814928888363,1,3
7200,249.871262725552,1,3
7260,263.228508326074,1,3
7320,215.255585247807,1,3
7380,232.346986423902,1,13
7440,266.58527832162,1,8
7500,282.425430316092,1,8
7560,281.694168147908,1,8
7620,281.346297268815,1,8
7680,292.42779503897,1,8
7740,272.297880038415,1,8
7800,264.699087084012,1,8
7860,296.964778353278,1,8
7920,288.723393503343,1,8
7980,299.978306029146,1,8
8040,272.341328042555,1,8
8100,296.046598678754,1,8
8160,275.108173146393,1,8
8220,301.191333880067,1,8
8280,285.279710620804,1,8
8340,266.986496571342,1,8
8400,266.334304219087,1,8
8460,294.438746554847,1,8
8520,281.203007256825,1,8
8580,262.187878551984,1,8
8640,232.82221101925,1,8
8700,217.737875586567,1,8
8760,210.177405582035,1,8
8820,213.727813316859,1,8
8880,226.114968517892,1,8
8940,229.822754849125,1,8
9000,218.401105396204,1,8
9060,229.787736666083,1,8
9120,164.323195579693,1,13
9180,216.673004999383,1,9.00006666666668
9240,206.093876242295,1,8
9300,234.458186850469,1,8
9360,266.239022348497,1,3
9420,250.892571000634,1,3
9480,258.37361639558,1,3
9540,223.599071086906,1,8
9600,258.314109999267,1,3
9660,246.831949692287,1,3
9720,256.413756904841,1,3
9780,256.360981848071,1,3
9840,212.591622705562,1,8
