"t","utility","dimmer","servers"
660,219.842325798465,1,8
720,171.590870902896,1,13
780,206.867242194504,1,9.00006666666667
840,241.058001922901,1,4.00006666666667
900,159.365098255272,1,12.9998333333333
960,254.632955533478,1,4.00015
1020,216.087737643606,1,7.99991666666667
1080,251.261765361462,1,4.00006666666667
1140,252.791836245111,1,3
1200,223.298971444172,1,7.99991666666667
1260,181.707163841248,1,12.9999166666667
1320,252.946442644278,1,4.00015
1380,205.533733880413,1,7.99991666666667
1440,254.700471396466,1,4.00013333333333
1500,258.588293823298,1,3
1560,266.711358162565,1,3
1620,170.447008953898,1,12.9996666666667
1680,203.684493645161,1,9.00013333333333
1740,238.782919290669,1,4.00013333333333
1800,242.25877861422,1,3
1860,231.437968841188,1,7.99983333333334
1920,212.752484628571,1,4.00013333333333
1980,223.833048707448,1,12.9995
2040,290.442526961837,1,9.0002
2100,257.406732039843,1,8
2160,281.825850401467,1,8
2220,273.088399343583,1,8
2280,30.4373258464316,1,4.00020000000001
2340,223.608455574688,1,12.9995
2400,271.957582267327,1,9.00020000000001
2460,289.216814344829,1,8
2520,281.244768113581,1,8
2580,259.379612121276,1,8
2640,236.685143160777,1,12.99975
2700,274.696270435525,1,9.00020000000001
2760,293.050073026112,1,8
2820,264.46578763741,1,8
2880,216.13583503225,1,12.99975
2940,246.338977055663,1,4.00045000000002
3000,295.338809936437,1,7.99974999999999
3060,278.561446211917,1,8
3120,301.205029618267,1,8
3180,215.182841640754,1,4.00026666666666
3240,291.018280051629,1,7.99966666666667
3300,276.743765771795,1,8
3360,232.795075060968,1,12.9996666666667
3420,281.819033184407,1,9.00026666666666
3480,270.436800183152,1,8
3540,195.554014489794,1,4.00033333333334
3600,236.198418487823,1,12.9993333333333
3660,281.825015798617,1,9.00033333333334
3720,286.685690195313,1,8
3780,296.215442959083,1,8
3840,271.622491110704,1,8
3900,219.250371094658,1,12.9995833333333
3960,266.267511772765,1,9.00033333333334
4020,287.676339425074,1,8
4080,-24.2851213532578,1,4.00033333333334
4140,240.128459754293,8.33333333351523e-05,3
4200,304.201466120343,1,8
4260,277.209677358062,1,8
4320,267.141900272379,1,8
4380,226.830165325314,1,12.9995
4440,276.048743084428,1,9.00033333333334
4500,291.216955613465,1,8
4560,285.052328704986,1,8
4620,258.964014996153,1,8
4680,225.601353468483,1,12.9995
4740,271.573846690226,1,9.00040000000002
4800,226.769353667973,1,4.00040000000002
4860,284.910660844124,1,7.99949999999997
4920,302.578458225357,1,8
4980,273.568594825432,1,8
5040,241.637029884176,1,12.9994166666667
5100,250.856744515886,1,9.00040000000002
5160,-241.390354473947,1,4.00040000000002
5220,146.276565637231,0.000100000000005214,3
5280,248.151683139352,1,13
5340,293.828816101915,1,9.00046666666664
5400,298.141381866644,1,8
5460,276.959340759089,1,8
5520,278.52217928224,1,8
5580,260.774751254131,1,12.9995
5640,279.986658222831,1,9.00046666666664
5700,249.003216979146,1,12.9994166666667
5760,275.32717744771,1,9.00046666666664
5820,286.569770016327,1,8
5880,217.524929738999,1,12.9994166666667
5940,273.642466036119,1,9.00046666666664
6000,-347.30798768359,1,4.00053333333332
6060,74.9031463094687,0.000116666666660118,3
6120,284.455271305248,1,8
6180,277.478053500227,1,8
6240,272.901249441234,1,8
6300,267.556510045274,1,8
6360,241.344499685722,1,12.9993333333333
6420,284.901033751717,1,9.00053333333332
6480,295.4855473274,1,8
6540,271.059791905126,1,8
6600,233.460483636511,1,12.9993333333333
6660,255.37169157594,1,9.00053333333332
6720,295.920868599364,1,8
6780,169.69079311366,1,4.00053333333332
6840,280.610539774856,1,7.99933333333335
6900,241.840182744763,1,12.99925
6960,293.692984064152,1,9.0006
7020,299.056958577519,1,8
7080,281.514888547923,1,8
7140,297.359211702035,1,8
7200,271.065054180989,1,8
7260,218.416495155809,1,12.99925
7320,251.013033316872,1,9.00066666666668
7380,281.694890438924,1,8
7440,172.517338693978,1,4.00066666666668
7500,268.671328752549,1,7.99916666666665
7560,245.397235652428,1,12.9991666666666
7620,267.746249303299,1,9.0006
7680,270.142194222599,1,8
7740,259.864492215898,1,12.9991666666666
7800,281.719081125118,1,9.00066666666668
7860,221.12578047515,1,12.9991666666666
7920,280.202789255539,1,9.00066666666668
7980,272.387408211885,1,8
8040,-332.469818543507,1,4.00066666666668
8100,111.153781938247,0.000166666666670305,3
8160,287.247966637766,1,8
8220,270.111009290203,1,8
8280,301.050330442828,1,8
8340,248.233671450369,1,12.9990833333333
8400,278.139434453891,1,9.00066666666668
8460,270.106326628911,1,8
8520,237.557479023152,1,12.9990833333333
8580,253.626922761461,1,9.00073333333336
8640,232.968467808149,1,8
8700,166.963917703792,1,12.9991666666666
8760,249.809489503562,1,4.00165000000006
8820,266.657222761803,1,3
8880,245.666596046387,1,3
8940,205.287878230232,1,7.9990833333333
9000,240.022185977418,1,4.00073333333336
9060,221.52491251014,1,7.9990833333333
9120,242.610618901725,1,4.00080000000004
9180,176.454736461672,1,12.9981666666666
9240,246.893171025468,1,4.00180000000009
9300,259.44014002836,1,3
9360,209.964872584191,1,7.99899999999995
9420,234.48593279809,1,4.00080000000004
9480,252.837864853558,1,3
9540,236.070755714973,1,7.99899999999995
9600,238.030045873345,1,4.00086666666672
9660,168.539547274746,1,12.9978333333332
9720,217.864830905192,1,9.00080000000004
9780,249.152823762377,1,4.00080000000004
9840,246.202762899933,1,3
