"t","utility","dimmer","servers"
660,256.171105677947,1,3
720,254.002445915033,1,3
780,253.652782521415,1,3
840,249.801919193992,1,3
900,201.806117240087,1,8
960,225.739503668116,1,8
1020,215.618793181627,1,8
1080,257.194964499312,1,3
1140,169.245874006672,1,13
1200,214.602567647542,1,9.00006666666667
1260,259.357767778105,1,3
1320,229.481217001402,1,8
1380,205.558908692513,1,8
1440,262.174644276598,1,3
1500,256.803651526729,1,3
1560,236.647457263277,1,8
1620,252.273467439647,1,3
1680,166.487546848133,1,13
1740,248.668757074494,1,3
1800,242.722906544887,1,3
1860,231.626092399764,1,8
1920,225.310764137654,1,3
1980,81.0913819926872,1,3
2040,282.546736901412,1,7.99991666666667
2100,262.771317919635,1,3
2160,281.156136446692,1,8
2220,273.013536537535,1,8
2280,277.870750446356,1,8
2340,-18.8323580732546,1,3
2400,221.756680063243,0,3
2460,289.352849252575,1,8
2520,-123.650919599763,1,4.00006666666668
2580,192.946802653264,0,3
2640,281.48181009479,1,8
2700,283.458001980531,1,8
2760,292.940960042113,1,8
2820,227.359312959798,1,3
2880,259.338257189458,1,8
2940,261.276065818714,1,8
3000,-356.486037927733,1,3
3060,81.4489763806437,0,3
3120,301.280546992779,1,8
3180,262.333816071799,1,8
3240,291.860860302379,1,8
3300,276.833522610973,1,8
3360,-75.6953855351269,1,4.00006666666668
3420,243.430857383814,1.66666666700621e-05,3
3480,187.439533483655,1,3
3540,267.786573311008,1,8
3600,281.325776059687,1,8
3660,290.482163366579,1,8
3720,286.788732282639,1,8
3780,-357.399477037153,1,3
3840,82.5621709120562,0,3
3900,244.948272065705,1,3
3960,275.088163179717,1,7.99991666666665
4020,287.481042351194,1,8
4080,276.265592235346,1,8
4140,218.689771624128,1,3
4200,304.478070241443,1,8
4260,64.6380020362187,1,3
4320,259.771034533054,1,8
4380,270.463373457398,1,8
4440,284.390535714558,1,8
4500,291.338043257863,1,8
4560,285.23860096765,1,8
4620,258.994866088684,1,8
4680,195.242033203257,1,3
4740,-236.95748533341,1,3
4800,152.053490185965,0,3
4860,287.097258986641,1,8
4920,254.891001141922,1,13
4980,273.361159672271,1,8
5040,285.119110134222,1,8
5100,239.286163857013,1,3
5160,241.469782370704,1,13
5220,266.288615351454,1,8
5280,-352.5859684611,1,3
5340,133.032516416808,1.66666666700621e-05,3
5400,298.375529496464,1,8
5460,-8.77668829763912,1,3
5520,245.153005326115,1.66666666700621e-05,3
5580,303.651458513635,1,8
5640,288.605660424264,1,8
5700,292.11870333294,1,8
5760,283.971198310416,1,8
5820,286.222984340972,1,8
5880,260.180501024687,1,8
5940,281.570903844878,1,8
6000,295.023635400934,1,8
6060,264.039235720604,1,8
6120,284.447218804634,1,8
6180,277.658346085596,1,8
6240,143.925329480185,1,3
6300,266.315059113433,1,8
6360,284.147400999358,1,8
6420,293.317723185127,1,8
6480,295.434780211244,1,8
6540,270.981119110667,1,8
6600,276.588997974092,1,8
6660,264.006188059517,1,8
6720,295.979767825017,1,8
6780,271.857892437118,1,8
6840,286.098903706586,1,8
6900,284.461490939304,1,8
6960,302.553460627171,1,8
7020,298.743441600981,1,8
7080,281.699436956694,1,8
7140,297.413001780988,1,8
7200,270.903431465786,1,8
7260,260.929184047646,1,8
7320,260.005364895521,1,8
7380,281.584693030876,1,8
7440,245.684035712733,1,3
7500,268.649937400343,1,8
7560,288.340442854493,1,8
7620,276.163470923719,1,8
7680,269.90897831502,1,8
7740,302.317230664006,1,8
7800,290.301961967031,1,8
7860,218.21488604757,1,13
7920,288.724584728763,1,8
7980,227.070594281365,1,13
8040,289.273039433857,1,8
8100,275.623810625977,1,8
8160,287.041515581455,1,8
8220,270.084185714817,1,8
8280,301.59748439751,1,8
8340,290.999423793053,1,8
8400,286.96915496165,1,8
8460,270.040157450979,1,8
8520,280.571681636731,1,8
8580,262.224758461407,1,8
8640,233.043990108344,1,8
8700,209.654730539315,1,8
8760,224.629509314228,1,8
8820,237.866367102892,1,8
8880,207.935374275678,1,8
8940,160.92787847952,1,13
9000,211.140375949698,1,8
9060,221.587793424631,1,8
9120,215.367572230721,1,8
9180,219.173204872984,1,8
9240,219.832484543144,1,8
9300,236.902398250526,1,8
9360,210.104873510278,1,8
9420,204.209014932497,1,8
9480,217.496946928556,1,8
9540,236.143787257324,1,8
9600,208.639546070893,1,8
9660,211.440977518841,1,8
9720,226.151064564735,1,8
9780,226.307014404901,1,8
9840,208.288088680043,1,8
