"t","utility","dimmer","servers"
660,221.077408597574,1,8
720,172.141662743023,1,13
780,254.403102244271,1,3
840,210.400906211457,1,8
900,204.206247130098,1,8
960,260.789858716832,1,3
1020,253.134967955084,1,3
1080,258.733195948555,1,3
1140,170.479886168534,1,13
1200,258.283265216592,1,3
1260,260.392346947165,1,3
1320,184.748272172345,1,13
1380,161.149228067737,1,13
1440,262.156576804877,1,3
1500,257.228235817282,1,3
1560,264.098896994912,1,3
1620,214.901851948798,1,8
1680,248.22563204365,1,3
1740,209.39767482999,1,8
1800,242.884253808224,1,3
1860,263.080672977787,1,3
1920,228.741755786499,1,3
1980,266.985548230471,1,8
2040,-362.027957517142,1,3
2100,19.8231212754748,0,3
2160,-122.88612797849,1,3
2220,208.114314113913,0,3
2280,277.242906355782,1,8
2340,277.08184575654,1,8
2400,2.06456629131182,1,3
2460,217.130165729036,1,13
2520,235.899850144208,1,13
2580,246.347815903721,1,3
2640,280.995557721957,1,8
2700,-147.714924146194,1,3
2760,191.689130736787,0,3
2820,219.534849600618,1,13
2880,260.580828937032,1,8
2940,261.202575496676,1,8
3000,250.480572822899,1,13
3060,278.430000531743,1,8
3120,-362.689821810364,1,3
3180,-3.6260740613235,0,3
3240,264.823934958984,0,3
3300,276.661850572508,1,8
3360,277.047372686223,1,8
3420,290.379662876894,1,8
3480,270.339029659251,1,8
3540,225.489281957127,1,13
3600,237.345648096984,1,13
3660,-231.511768894708,1,3
3720,137.118186332608,0,3
3780,296.033670119646,1,8
3840,271.532461382174,1,8
3900,262.909812420292,1,8
3960,274.944163906491,1,8
4020,243.740015498532,1,13
4080,276.292972271999,1,8
4140,266.014353369075,1,8
4200,304.430685990729,1,8
4260,277.244459869393,1,8
4320,232.918568919933,1,3
4380,185.865611845009,1,3
4440,-306.394888440231,1,3
4500,147.285918232745,0,3
4560,285.393492257418,1,8
4620,215.003396547845,1,13
4680,166.777799668576,1,3
4740,273.690683549764,1,8
4800,265.05672562898,1,8
4860,287.440092611265,1,8
4920,259.1631128295,1,13
4980,273.287267191287,1,8
5040,-174.880309391906,1,3
5100,160.460420870244,0,3
5160,288.163993034515,0.99998333333333,7.99991666666665
5220,241.057526056493,1,3
5280,290.973611929896,1,8
5340,302.525626223671,1,8
5400,255.073624685569,1,13
5460,277.259722952624,1,8
5520,278.694970253741,1,8
5580,304.04630315472,1,8
5640,288.703778044498,1,8
5700,292.278443757128,1,8
5760,-162.453626377934,1,3
5820,183.255050264165,0.000150000000000243,3
5880,260.460593709906,1,8
5940,238.718637042194,1,13
6000,295.050648663168,1,8
6060,263.757419242692,1,8
6120,284.658991363887,1,8
6180,277.833428023092,1,8
6240,129.031129885627,1,3
6300,259.844825174866,1,8
6360,284.102970749865,1,8
6420,250.425293806093,1,13
6480,252.408065608254,1,13
6540,163.801507889128,1,3
6600,275.285712385126,1,8
6660,264.14005753046,1,8
6720,252.816157647221,1,13
6780,272.533025528324,1,8
6840,286.281026107052,1,8
6900,-116.863420706414,1,3
6960,217.314468276546,0,3
7020,298.736801108953,1,8
7080,281.481105678251,1,8
7140,297.569569518591,1,8
7200,270.96585198023,1,8
7260,261.287425717932,1,8
7320,216.908996801203,1,13
7380,238.841485806878,1,13
7440,222.512772238195,1,3
7500,268.029891596938,1,8
7560,287.965413610734,1,8
7620,276.270172046592,1,8
7680,270.193406622326,1,8
7740,302.72995945214,1,8
7800,-265.572686360147,1,3
7860,142.404931439158,0,3
7920,245.754297701531,1,13
7980,272.518926766613,1,8
8040,289.274456773415,1,8
8100,275.533196072573,1,8
8160,-207.985700484189,1,3
8220,153.176297270929,0,3
8280,301.249027948026,1,8
8340,291.211823046858,1,8
8400,286.573921407959,1,8
8460,270.06912849193,1,8
8520,280.109555449885,1,8
8580,262.365376273719,1,8
8640,233.205523273452,1,8
8700,209.400757488329,1,8
8760,224.75834810717,1,8
8820,265.435380744161,1,3
8880,207.878428703449,1,8
8940,205.01807432366,1,8
9000,211.147932310829,1,8
9060,221.440557020689,1,8
9120,172.179506451883,1,13
9180,219.251280504722,1,8
9240,220.04884848785,1,8
9300,193.775038949395,1,13
9360,248.036765438309,1,3
9420,204.030279482387,1,8
9480,217.447781348704,1,8
9540,193.299387582833,1,13
9600,208.598341740361,1,8
9660,248.50899150416,1,3
9720,226.159273984566,1,7.99991666666665
9780,183.769018324186,1,13
9840,199.834118396885,1,9.00006666666668
