"t","utility","dimmer","servers"
660,202.983061418968,1,8
720,172.897840664741,1,13
780,199.854531667009,1,8
840,248.822911037004,1,4.00006666666667
900,259.816185940258,1,3
960,165.366855509346,1,12.9998333333333
1020,209.542175187994,1,9.00006666666667
1080,245.963298119104,1,4.00006666666667
1140,254.861534269449,1,3
1200,229.391662617267,1,7.99991666666667
1260,163.043665927702,1,12.9999166666667
1320,257.127301216224,1,4.00015
1380,251.035987887733,1,3
1440,211.409195863137,1,7.99983333333334
1500,241.775764619824,1,4.00013333333333
1560,254.023934049092,1,3
1620,221.032189612585,1,7.99983333333334
1680,188.563054631064,1,12.9998333333333
1740,243.073655376427,1,4.00029999999999
1800,265.429823426747,1,3
1860,230.361078511002,1,7.99983333333334
1920,241.262338058053,1,4.00013333333333
1980,249.335126887629,1,3
2040,231.011783109128,1,7.99983333333334
2100,175.345370195388,1,12.9998333333333
2160,234.677824550571,1,4.00045000000002
2220,224.342424479669,1,7.99983333333334
2280,238.444408785457,1,4.00020000000001
2340,263.22783714144,1,3
2400,260.416812475015,1,3
2460,206.411454006342,1,7.99974999999999
2520,236.852875989042,1,4.00020000000001
2580,161.035973935086,1,12.9995
2640,254.594742761568,1,4.00045000000002
2700,256.631984480477,1,3
2760,205.232963919907,1,7.99974999999999
2820,241.779952271934,1,4.00020000000001
2880,243.260722015847,1,3
2940,265.456769476126,1,3
3000,237.938305239952,1,7.99974999999999
3060,246.441298078707,1,4.00026666666666
3120,244.820724149846,1,3
3180,185.553194059972,1,12.9993333333333
3240,229.393085304131,1,9.00026666666666
3300,253.465945601704,1,4.00026666666666
3360,254.878794294321,1,3
3420,212.85043822224,1,7.99966666666667
3480,247.466556791473,1,4.00026666666666
3540,252.486036018411,1,3
3600,247.607732403568,1,3
3660,165.273132383824,1,12.9993333333333
3720,196.853137453998,1,9.00026666666666
3780,238.532891068484,1,4.00033333333334
3840,257.850061861561,1,3
3900,255.963441739226,1,3
3960,247.404971221712,1,3
4020,228.936592247099,1,7.99958333333332
4080,254.490839916912,1,4.00033333333334
4140,243.0520118542,1,3
4200,257.374576044806,1,3
4260,220.109669554901,1,7.99958333333332
4320,241.643067782592,1,4.00040000000002
4380,169.89688075738,1,12.9989999999999
4440,248.932774134373,1,4.00090000000005
4500,252.747414606766,1,3
4560,211.27254361934,1,7.99949999999997
4620,254.154133001495,1,4.00040000000002
4680,259.222006038189,1,3
4740,242.470991540193,1,3
4800,243.973287855465,1,3
4860,251.661868843422,1,3
4920,207.057320202379,1,7.99949999999997
4980,254.303567781959,1,4.00040000000002
5040,244.275255329853,1,3
5100,252.582901191556,1,3
5160,163.976192601142,1,12.9989999999999
5220,247.651094183164,1,4.00104999999994
5280,217.458015037903,1,7.99949999999997
5340,233.766291831038,1,4.00046666666664
5400,241.627526488621,1,3
5460,264.486795612265,1,3
5520,261.593339693829,1,3
5580,207.362289595721,1,7.9994166666667
5640,256.656441768946,1,4.00046666666664
5700,248.387751402583,1,3
5760,255.430494127785,1,3
5820,245.89400826926,1,3
5880,264.181147730742,1,3
5940,255.717918647383,1,3
6000,172.657447439581,1,12.9986666666667
6060,230.513805817735,1,9.00053333333332
6120,246.132561495223,1,4.00053333333332
6180,261.043312643084,1,3
6240,242.923633465175,1,3
6300,207.466920777547,1,7.99933333333335
6360,247.171283348944,1,4.00053333333332
6420,245.70769914696,1,3
6480,263.240866627606,1,3
6540,247.917421764715,1,3
6600,246.882212764598,1,3
6660,227.576179596942,1,7.99925
6720,246.49819061382,1,4.0006
6780,258.638873127478,1,3
6840,249.8877876594,1,3
6900,166.266297276462,1,12.9985
6960,203.783545187153,1,9.0006
7020,252.789949476979,1,4.0006
7080,260.812485454567,1,3
7140,242.853678517803,1,3
7200,249.298244599916,1,3
7260,260.861214555219,1,3
7320,202.661876040607,1,3
7380,272.760937651796,1,7.99925
7440,266.627833185506,1,8
7500,282.288467199346,1,8
7560,281.571675857301,1,8
7620,281.338464234445,1,8
7680,291.978942037836,1,8
7740,272.603521502097,1,8
7800,264.80933880356,1,8
7860,297.250983181463,1,8
7920,288.960613021018,1,8
7980,299.970244108583,1,8
8040,272.337397126611,1,8
8100,296.493570426435,1,8
8160,274.667251973802,1,8
8220,301.187800830985,1,8
8280,285.006212798332,1,8
8340,267.425818377054,1,8
8400,266.098060324255,1,8
8460,294.641403058193,1,8
8520,280.869396246849,1,8
8580,262.209103575797,1,8
8640,232.987868632321,1,8
8700,217.682615982845,1,8
8760,210.076401160403,1,8
8820,213.99764895342,1,8
8880,225.939730213965,1,8
8940,229.803321496686,1,8
9000,174.75399970431,1,12.9989999999999
9060,221.457200692511,1,9.00073333333336
9120,208.29338260291,1,8
9180,225.020918670853,1,8
9240,206.087498974254,1,8
9300,234.458411904934,1,8
9360,255.565493035639,1,4.00080000000004
9420,171.618134039031,1,12.9979999999999
9480,253.498205758715,1,4.00180000000009
9540,256.867221936355,1,3
9600,224.727966603699,1,7.9989166666666
9660,238.07707031007,1,4.00086666666672
9720,257.072484460841,1,3
9780,256.62180260749,1,3
9840,212.550082908619,1,7.9989166666666
