"t","utility","dimmer","servers"
660,177.295867685804,1,13
720,253.066728405655,1,3
780,215.050423165998,1,8
840,250.530434384783,1,3
900,159.710564600083,1,13
960,227.275074813607,1,8
1020,172.295444781771,1,13
1080,258.246452425122,1,3
1140,253.378080400758,1,3
1200,223.300913515904,1,8
1260,226.608379873019,1,8
1320,230.482129613256,1,8
1380,244.862783926348,1,3
1440,234.116507651503,1,8
1500,260.162483794307,1,3
1560,236.721763277104,1,8
1620,215.900802478132,1,8
1680,168.493740604863,1,13
1740,210.442646746452,1,8
1800,241.10977206952,1,3
1860,261.080933743938,1,3
1920,196.532797295045,1,3
1980,-27.0993607186331,1,3
2040,270.26275514927,0,3
2100,256.573757884693,1,3
2160,-166.983041721657,1,3
2220,181.808740114119,0,3
2280,-165.600655055919,1,3
2340,191.37029658519,0,3
2400,-55.4505139582081,1,3
2460,223.322601505009,0,3
2520,280.724148078509,1,8
2580,258.626953075718,1,8
2640,235.981078629497,1,13
2700,282.908792079033,1,8
2760,292.946229874205,1,8
2820,219.278930909701,1,13
2880,216.061376418875,1,13
2940,216.987531431933,1,13
3000,251.003757404823,1,13
3060,234.490917544607,1,13
3120,301.12866516209,1,8
3180,218.63529203134,1,13
3240,-280.965436339521,1,3
3300,132.925580563473,0,3
3360,277.158917728079,1,8
3420,290.269889924506,1,8
3480,65.6365695169468,1,3
3540,260.510942269524,1,8
3600,237.736669191589,1,13
3660,290.356891776743,1,8
3720,-195.965881003271,1,3
3780,182.424745541865,0,3
3840,271.795416247509,1,8
3900,219.567344259152,1,13
3960,275.168185140884,1,8
4020,244.270518936146,1,13
4080,276.289902383653,1,8
4140,152.812960500344,1,3
4200,261.122302517945,1,13
4260,277.26235301457,1,8
4320,267.534884765564,1,8
4380,270.457574244906,1,8
4440,284.841427079701,1,8
4500,291.346159573467,1,8
4560,242.196263990025,1,13
4620,259.062823727137,1,8
4680,269.007499215402,1,8
4740,279.719487352122,1,8
4800,222.088037733681,1,13
4860,287.537285560727,1,8
4920,-364.193164695598,1,3
4980,13.9125543562325,0,3
5040,285.08474984998,1,8
5100,259.348378326162,1,8
5160,288.339770847097,1,8
5220,266.220876540075,1,8
5280,291.844303423749,1,8
5340,302.652814016577,1,8
5400,298.076007891434,1,8
5460,277.368705026578,1,8
5520,278.578178597556,1,8
5580,303.845754541388,1,8
5640,288.536204000602,1,8
5700,291.897683979718,1,8
5760,283.741469439641,1,8
5820,286.24179988891,1,8
5880,217.359870179701,1,13
5940,282.022645173629,1,8
6000,295.070606641159,1,8
6060,202.449862761996,1,3
6120,284.313252168137,1,8
6180,277.630681258438,1,8
6240,272.606721011785,1,8
6300,224.810996928053,1,13
6360,284.333615154946,1,8
6420,293.572437388658,1,8
6480,252.64315770319,1,13
6540,228.382684210675,1,13
6600,276.433109937198,1,8
6660,264.219226977641,1,8
6720,-357.297909538636,1,3
6780,65.3150992021012,0,3
6840,286.025390865168,1,8
6900,-189.297662597525,1,3
6960,190.298097897963,0,3
7020,298.590303142719,1,8
7080,281.644541723635,1,8
7140,297.621626348495,1,8
7200,271.144468470958,1,8
7260,261.253626334442,1,8
7320,259.692156507642,1,8
7380,281.696777602439,1,8
7440,263.55750804295,1,8
7500,268.762193818553,1,8
7560,287.960356962613,1,8
7620,276.222428751496,1,8
7680,270.01643690554,1,8
7740,302.544077824483,1,8
7800,290.072697592748,1,8
7860,263.918734879644,1,8
7920,288.964566417649,1,8
7980,272.176033879324,1,8
8040,289.199646142529,1,8
8100,275.539194788912,1,8
8160,287.566188324257,1,8
8220,270.017639164309,1,8
8280,258.344401685569,1,13
8340,291.120241935171,1,8
8400,243.942249890444,1,13
8460,270.179876916303,1,8
8520,280.336400708638,1,8
8580,262.163369503503,1,8
8640,233.006820346218,1,8
8700,209.780748232087,1,8
8760,224.764237934147,1,8
8820,195.332015502346,1,13
8880,208.240351814932,1,8
8940,205.439491539087,1,8
9000,211.424326336121,1,8
9060,221.293791766984,1,8
9120,215.043043884798,1,8
9180,219.130838918804,1,8
9240,219.856074228431,1,8
9300,236.704419671915,1,8
9360,210.233507429276,1,8
9420,204.312259938763,1,8
9480,217.651241426214,1,8
9540,235.991254134997,1,8
9600,208.609861726405,1,8
9660,211.390607779465,1,8
9720,226.184745907111,1,8
9780,226.262598527019,1,8
9840,208.16529042814,1,8
