"t","utility","dimmer","servers"
660,219.126890720105,1,8
720,252.532572254894,1,3
780,214.330081304228,1,8
840,165.670004126872,1,13
900,159.896366148543,1,13
960,259.873792910504,1,3
1020,171.860883749913,1,13
1080,223.625322084017,1,8
1140,252.372250775327,1,3
1200,257.739241196496,1,3
1260,182.12633645862,1,13
1320,185.748878201977,1,13
1380,161.921537457951,1,13
1440,261.693331505581,1,3
1500,181.712950269932,1,13
1560,262.137171265865,1,3
1620,253.38518466495,1,3
1680,168.74841130405,1,12.9998333333333
1740,200.805276245176,1,9.00006666666667
1800,242.940383249738,1,3
1860,261.968657658953,1,3
1920,260.434189605683,1,8
1980,64.1960615182282,1,3
2040,293.778508462248,1,7.99916666666667
2100,213.226478194573,1,13
2160,237.561546748474,1,13
2220,1.67592372971622,1,4.00015000000003
2280,266.964206477949,1,8
2340,277.318806136898,1,8
2400,280.6759688779,1,8
2460,-233.436048704515,1,4.00006666666668
2520,151.056932167596,5.00000000026072e-05,3
2580,215.338291334746,1,13
2640,281.42978848283,1,8
2700,283.270676886298,1,8
2760,292.916901648863,1,8
2820,264.412547794763,1,8
2880,216.912082700215,1,13
2940,217.836814563491,1,13
3000,251.849752127998,1,13
3060,-93.7672816911188,1,3
3120,235.021773141235,0,3
3180,262.524227530573,0.99998333333333,7.99991666666665
3240,248.574475821143,1,13
3300,268.274580519746,1,9.00006666666668
3360,-54.6097695748012,1,4.00006666666668
3420,242.319948056541,0,3
3480,270.458009260262,1,8
3540,269.799228630812,1,8
3600,238.128357501079,1,13
3660,-258.474890601834,1,3
3720,161.081171160229,0,3
3780,253.059277079795,0.99998333333333,12.9998333333333
3840,271.725006587451,1,8
3900,220.131526980465,1,13
3960,231.981797751027,1,13
4020,287.486987383692,1,8
4080,233.153724836825,1,13
4140,265.879081335162,1,8
4200,261.747099805977,1,13
4260,-88.1301681429339,1,3
4320,209.901642509686,0,3
4380,147.745888626666,1,3
4440,-238.055943934522,1,3
4500,170.372277130522,0,3
4560,-182.980689405999,1,3
4620,164.822951540741,0,3
4680,219.381613321766,1,3
4740,-47.9239789831473,1,3
4800,218.137121406255,0,3
4860,244.420407402563,1,13
4920,259.878351048159,1,13
4980,-25.7042253392632,1,3
5040,253.744460296571,0,3
5100,216.470228734557,1,13
5160,288.453576799088,1,8
5220,232.502311963077,1,3
5280,248.800423452397,1,13
5340,302.461277584091,1,8
5400,255.429395134562,1,13
5460,268.689308112287,1,9.00006666666668
5520,-20.938255743847,1,3
5580,248.027654921323,0,3
5640,246.122918478868,1,13
5700,292.096987227645,1,8
5760,283.680535247538,1,8
5820,-206.865565277497,1,3
5880,149.054224429555,0,3
5940,239.198091204725,1,13
6000,-322.668336630947,1,3
6060,113.826779216855,0,3
6120,241.799777307543,1,13
6180,277.72468687958,1,8
6240,12.3951844057052,1,3
6300,70.8898006388595,1,3
6360,-204.981329335457,1,3
6420,162.470606103205,0,3
6480,295.524997900505,1,8
6540,228.28772040611,1,13
6600,233.754007200431,1,13
6660,264.080837442561,1,8
6720,253.518398438471,1,13
6780,229.348887917579,1,13
6840,-346.905122398204,1,3
6900,122.997834525268,1.66666666700621e-05,3
6960,-364.138285409312,0.999950000000005,3
7020,51.1190981605409,0,3
7080,281.495239182161,1,8
7140,-358.760538125851,1,3
7200,61.6010905350912,0,3
7260,261.340325564332,0.99998333333333,7.99991666666665
7320,259.924641649757,1,8
7380,239.033817366475,1,13
7440,220.996121331428,1,13
7500,226.104831804658,1,13
7560,245.605040210968,1,13
7620,6.00912773227118,1,3
7680,-19.3859908111443,1,3
7740,266.749038456936,0,3
7800,290.318837244138,1,8
7860,221.229840471603,1,13
7920,-283.563994349529,1,3
7980,146.978604071457,0,3
8040,246.626919213907,1,13
8100,275.514941888039,1,8
8160,-263.382264056025,1,3
8220,143.601796672632,0,3
8280,-362.777640654595,1,3
8340,21.0820657173114,1.66666666700621e-05,3
8400,244.271802585586,1,13
8460,270.197034093263,1,8
8520,-4.47991812118756,1,3
8580,238.334768584754,0,3
8640,259.850116826923,1,3
8700,166.969517939397,1,12.9998333333333
8760,182.036677821464,1,13
8820,195.31059341332,1,13
8880,245.296336112587,1,3
8940,242.223050966331,1,3
9000,168.518022826964,1,13
9060,178.810398957409,1,13
9120,172.349093512531,1,13
9180,254.294531034182,1,3
9240,253.858993848828,1,3
9300,236.724909124302,1,7.99991666666665
9360,245.674139307175,1,3
9420,204.110973508769,1,8
9480,174.942588714584,1,13
9540,236.217213203493,1,8
9600,208.737674363344,1,8
9660,168.674370131637,1,13
9720,183.487410558193,1,13
9780,183.557254286034,1,13
9840,246.181587352813,1,3
