"t","utility","dimmer","servers"
660,219.765095785566,1,8
720,171.623806817304,1,13
780,215.274391414068,1,8
840,249.274683278614,1,3
900,244.597576592885,1,3
960,182.699573935105,1,13
1020,215.904972817666,1,8
1080,259.2554959171,1,3
1140,215.436254075728,1,8
1200,259.273320112933,1,3
1260,181.77660030436,1,13
1320,262.925878178946,1,3
1380,205.297457537557,1,8
1440,261.687520576099,1,3
1500,259.881841743022,1,3
1560,262.344769131673,1,3
1620,170.606218602318,1,13
1680,212.493375629784,1,8
1740,247.73909646452,1,3
1800,241.966936776389,1,3
1860,231.785447140656,1,8
1920,194.742713874178,1,3
1980,264.203234629206,1,8
2040,253.951037651069,1,13
2100,212.572448994303,1,13
2160,281.815970261498,1,8
2220,272.999501102634,1,8
2280,-101.844892010022,1,3
2340,229.135510538244,0,3
2400,280.308883857518,1,8
2460,289.270701959337,1,8
2520,281.366307083885,1,8
2580,259.114050957345,1,8
2640,281.530891876483,1,8
2700,283.426489136968,1,8
2760,293.017434554444,1,8
2820,219.497141619218,1,13
2880,260.744872013229,1,8
2940,261.563640966943,1,8
3000,-356.486037927733,1,3
3060,87.4116418185973,0,3
3120,301.115402350028,1,8
3180,262.504154264213,1,8
3240,291.783589947875,1,8
3300,276.727391426227,1,8
3360,232.297743176695,1,13
3420,290.210736866917,1,8
3480,270.475122331922,1,8
3540,269.768808651536,1,8
3600,281.139958481424,1,8
3660,290.295659897606,1,8
3720,286.56951723072,1,8
3780,295.967423610081,1,8
3840,271.517356797455,1,8
3900,218.929269553021,1,13
3960,275.198416950009,1,8
4020,287.522135089227,1,8
4080,276.402525487576,1,8
4140,265.858203924317,1,8
4200,-366.332019333701,1,3
4260,6.37640285652993,0,3
4320,267.373215657232,1,8
4380,270.599831219183,1,8
4440,284.62219767243,1,8
4500,291.548951423707,1,8
4560,285.290817573725,1,8
4620,214.830438452788,1,13
4680,268.816366927004,1,8
4740,280.02100841506,1,8
4800,265.158403810372,1,8
4860,287.246225118736,1,8
4920,302.764404058234,1,8
4980,273.201253461158,1,8
5040,285.15735094038,1,8
5100,259.245549521677,1,8
5160,288.396675200853,1,8
5220,266.157183558031,1,8
5280,291.915080001757,1,8
5340,302.511773677003,1,8
5400,298.263606554631,1,8
5460,277.108099597575,1,8
5520,234.417625078411,1,13
5580,303.676544997628,1,8
5640,288.195561837254,1,8
5700,291.978183243406,1,8
5760,283.660655076003,1,8
5820,286.346609690368,1,8
5880,240.187508365035,1,3
5940,281.932078993999,1,8
6000,295.35872125102,1,8
6060,264.305288777266,1,8
6120,284.783044974234,1,8
6180,277.42841376706,1,8
6240,272.538242147696,1,8
6300,267.78061555922,1,8
6360,240.791858862749,1,13
6420,293.437001173723,1,8
6480,-356.665482645483,1,3
6540,71.7291576635495,0,3
6600,276.266915469513,1,8
6660,263.988063063779,1,8
6720,296.157338790488,1,8
6780,272.45187071897,1,8
6840,286.233238227655,1,8
6900,284.449633179334,1,8
6960,302.220356136391,1,8
7020,298.675153418035,1,8
7080,281.537779260738,1,8
7140,297.378424381399,1,8
7200,271.058854078004,1,8
7260,217.929578992285,1,13
7320,259.731095944794,1,8
7380,281.67068625507,1,8
7440,263.656925673778,1,8
7500,269.107122553051,1,8
7560,288.147180566293,1,8
7620,276.146089311938,1,8
7680,269.970305339268,1,8
7740,302.696416464702,1,8
7800,290.320703755179,1,8
7860,263.663813142095,1,8
7920,288.824803002284,1,8
7980,272.344283508857,1,8
8040,289.415917732907,1,8
8100,275.645301214768,1,8
8160,287.036433368911,1,8
8220,270.2492748316,1,8
8280,301.210286665838,1,8
8340,291.336754261533,1,8
8400,243.4281825609,1,13
8460,270.107684280183,1,8
8520,280.291713609995,1,8
8580,262.265611854376,1,8
8640,233.092530177899,1,8
8700,209.493350930583,1,8
8760,257.930298420396,1,3
8820,194.811415347351,1,13
8880,208.355740649526,1,8
8940,243.602604576943,1,3
9000,211.151356692533,1,8
9060,221.404359890446,1,8
9120,251.188099804611,1,3
9180,219.251336597388,1,8
9240,254.987655303835,1,3
9300,236.540896390444,1,8
9360,209.830282477704,1,8
9420,241.335877392279,1,3
9480,217.55147241887,1,8
9540,192.890400930584,1,13
9600,208.550285253249,1,8
9660,249.269376681316,1,3
9720,226.227438143104,1,8
9780,226.746741096569,1,8
9840,246.20128272074,1,3
